"geoId","state","town","lat","lng","primary"
"4832176","MA","East Falmouth","41.5968","-70.5671000000001","0"
"4832272","MA","North Andover","42.680202380952416","-71.10865952380948","1"
"4832288","MA","North Quincy","42.2825","-71.0241","0"
"4832294","MA","Revere","42.41380000000002","-71.00520000000004","1"
"4832322","MA","West Barnstable","41.7002","-70.372","0"
"4832324","MA","Wareham","41.7541","-70.71160000000002","1"
"4928662","MA","Abington","42.11670000000002","-70.9543","1"
"4928703","MA","Acton","42.475100000000054","-71.4483","1"
"4928720","MA","Acushnet","41.6997","-70.9087","1"
"4928733","MA","Adams","42.6223","-73.11720000000001","1"
"4928788","MA","Agawam","42.065926315789476","-72.6196736842105","1"
"4928934","MA","Allston","42.353499999999954","-71.13290000000005","0"
"4929004","MA","Amesbury","42.85590000000001","-70.93669999999999","1"
"4929022","MA","Amherst","42.3702","-72.47212499999996","1"
"4929055","MA","Andover","42.650794366197225","-71.15577887323947","1"
"4929180","MA","Arlington","42.41918305084748","-71.16125423728816","1"
"4929256","MA","Ashburnham","42.64960000000001","-71.9267","1"
"4929262","MA","Ashby","42.67450000000001","-71.8174","1"
"4929276","MA","Ashfield","42.5232","-72.81100000000002","1"
"4929283","MA","Ashland","42.25389999999998","-71.45829999999994","1"
"4929356","MA","Assonet","41.79750000000001","-71.0607","1"
"4929376","MA","Athol","42.59590000000002","-72.22670000000005","1"
"4929399","MA","Attleboro","41.926100000000034","-71.30109999999992","1"
"4929401","MA","Attleboro Falls","41.9726","-71.3082","0"
"4929417","MA","Auburn","42.20550000000002","-71.83910000000004","1"
"4929432","MA","Auburndale","42.344100000000005","-71.24800000000002","0"
"4929476","MA","Avon","42.125800000000005","-71.04369999999999","1"
"4929501","MA","Ayer","42.55909999999998","-71.5788","1"
"4929521","MA","Babson Park","42.2987","-71.2595","0"
"4929657","MA","Baldwinville","42.5936","-72.0646","1"
"4929785","MA","Barre","42.4097","-72.1084","1"
"4930173","MA","Becket","42.359400000000015","-73.12030000000001","1"
"4930183","MA","Bedford","42.48430000000001","-71.27680000000004","1"
"4930231","MA","Belchertown","42.27510000000002","-72.41100000000004","1"
"4930266","MA","Bellingham","42.07460000000001","-71.47679999999997","1"
"4930282","MA","Belmont","42.39589999999999","-71.17869999999996","1"
"4930385","MA","Berkley","41.8353","-71.0765","1"
"4930431","MA","Berlin","42.3844","-71.6356","1"
"4930505","MA","Beverly","42.56080000000006","-70.8759","1"
"4930577","MA","Billerica","42.554933333333274","-71.25978000000002","1"
"4930738","MA","Blackstone","42.02870000000001","-71.5269","1"
"4930780","MA","Blandford","42.1829","-72.9361","1"
"4930907","MA","Bolton","42.4365","-71.6076","1"
"4930956","MA","Boston","42.350754059829235","-71.06311452991413","1"
"4931105","MA","Boxborough","42.488400000000006","-71.51779999999998","1"
"4931108","MA","Boxford","42.67970000000001","-71.0114","1"
"4931127","MA","Boylston","42.33769999999999","-71.731","1"
"4931273","MA","Brewster","41.74919999999998","-70.06989999999998","1"
"4931303","MA","Bridgewater","41.97867931034483","-70.9723689655172","1"
"4931353","MA","Brighton","42.34740000000008","-71.15819999999991","0"
"4931363","MA","Brimfield","42.1165","-72.1885","1"
"4931429","MA","Brockton","42.080249650349714","-71.02733986013993","1"
"4931469","MA","Brookfield","42.199099999999994","-72.0989","1"
"4931482","MA","Brookline","42.33455825242713","-71.12841456310682","1"
"4931627","MA","Buckland","42.5736","-72.8213","1"
"4931737","MA","Burlington","42.50887132867122","-71.20036643356629","1"
"4931875","MA","Buzzards Bay","41.7455","-70.5905","1"
"4931880","MA","Byfield","42.7568","-70.9351","1"
"4931972","MA","Cambridge","42.36893560885628","-71.10165479704789","1"
"4932214","MA","Canton","42.16450000000004","-71.13549999999996","1"
"4932328","MA","Carlisle","42.52859999999999","-71.3519","1"
"4932388","MA","Carver","41.88830000000001","-70.76779999999998","1"
"4932441","MA","Cataumet","41.6694","-70.6234","1"
"4932587","MA","Centerville","41.6606","-70.3532","1"
"4932757","MA","Charlemont","42.608","-72.8901","1"
"4932819","MA","Charlestown","42.377799999999986","-71.06269999999996","1"
"4932823","MA","Charlton","42.137899999999966","-71.96639999999996","1"
"4932844","MA","Chatham","41.6889","-69.9722","1"
"4932869","MA","Chelmsford","42.59110000000003","-71.35559999999998","1"
"4932879","MA","Chelsea","42.396299999999954","-71.03249999999997","1"
"4932913","MA","Cherry Valley","42.2373","-71.875","1"
"4932915","MA","Cheshire","42.5611","-73.158","1"
